国家,官方语言,官方语言及国家语言,GDP（国际汇率）,国内生产总值（国际汇率）,人口,面积,主要宗教,宗教,人类发展指数,主要节日,立国历史
美国,"
无规定（联邦政府）[a]",,"
21.344兆美元[7]（第1名）",,"
328,060,000 [6]（第3名）","
9,833,520 km2[4][c]（第3名）",,,"
▲ 0.924[9]（2017年）极高 · 第13名",,
澳大利亚,"
联邦政府无硬性规定[a]",,"
1.256万亿美元[4]（第13名）",,"
25,304,900[2]（51名）","
7,692,024 km2（第6名）",,,"
▲ 0.939[6]（2017年）极高 · 第3名",,
中国,"
汉语（普通话）[注 1]",,"
13.457万亿美元[9]（第2名）",,"
1,395,380,000人[7]（第1名）","
9,634,057 [注 9] km2（第3/4名）",,"
传统中国民间信仰或无宗教、佛教、道教、基督宗教、伊斯兰教等","
▲ 0.752[11]（2017年）高 · 第86名",,
英国,,"
英语","
2.649万亿美元[6]（第5名）",,"
65,133,000[4]（第21名）","
243,610 km2[3]（第80名）",,,"
▲ 0.907[8]（2015年）极高 · 第14名",,
新加坡,"
马来语[1]英语[1]华语[1]泰米尔语[1]",,"
$3110亿美元（第41名）",,"
5,607,300（第113名）","
721.5 km2（第197名）",,"
33.1% 佛教18.8% 基督宗教[注 2]17.3% 无宗教15.0% 伊斯兰教11.0% 道教与华人民间信仰5.0% 兴都教0.6% 其他","
▲ 0.932[5]（2017年）极高 · 第9名",,
法国,,"
法语[注 2]","
2.488万亿美元[5]（第6名）",,"
66,710,000[注 8][3]（第20名）","
643,801 km2[注 5][1]（第41名）",,,"
▲ 0.901[7]（2017年）极高 · 第24名",,
韩国,"
朝鲜语",,"
1.693万亿美元[6]（第11名）",,"
51,529,338[4][5]（第27名）","
100,210 km2[3]:1-2[1]:1-2",,"
基督新教、儒教、佛教、天主教等","
▲ 0.903[8]（2017年）极高 · 第22名",,
德国,"
德语[注 3]",,"
3.494万亿美元[参 3]（第4名）",,"
82,521,653[1]（第16名）","
357,386 km2（第63名）",,,"
▲ 0.936[2]（2017年）极高 · 第5名",,
加拿大,"
英语法语",,"
1.532万亿美元[4]（第10名）",,"
35,151,728[3]（第38名）","
9,984,670 km2（第2名）",,,"
▲ 0.926[7]（2017年）极高 · 第12名",,
俄罗斯,"
俄语",,"
1.267万亿美元[5]（第12名）",,"
146,517,273[4]（包括克里米亚）（第9名）","
17,124,442 km2（包含克里米亚和塞瓦斯托波尔，其国土总面积为17,124,442平方公里（或6,689,235平方英里）。）（第1名）",,,"
▲ 0.816[7]（2017年）极高 · 第49名",,
日本,"
日本语[2]a",,"
5.167万亿美元[7]（第3名）",,"
126,220,000 人（估计至2019年3月）[6]","
377,962 km2[5]",,,"
▲ 0.909[9]（2017年）极高 · 第19名",,
马来西亚,"
马来语[2][3]英语（特定）[2][3]",,"
3,380.48亿美元[11]（第38名）",,"
32,428,000[9]（第44名）","
330,345 km2（2016）[8]（第66名）",,"
61.3% 伊斯兰教（逊尼派）19.8% 佛教 9.2% 基督教[a] 6.2% 印度教 2.7% 其他 0.7% 无宗教","
▲ 0.802[13]（2017年）极高 · 第57名",,
以色列,"
希伯来语[1][2]",,"
3,117.39亿美元[5]（第35名）",,"
8,462,000[3]（第96名）","
20,770/22,072 km2[a]（第149名）",,,"
▲ 0.903[7]（2017年）极高 · 第22名",,
荷兰,"
荷兰语",,,"总计：7,699.30亿美元[2]（第17名）
人均：45,210美元[2]（第15名）","
以下资讯是以2018年估计


总人口：17,249,632 ▲[1]人（世界第66名）
人口密度：509人/km2（世界第30名）
","
国土面积：41,526平方公里（世界第134名）
水域率：18.41%
","
天主教、新教归正宗和无宗教",,▲ 0.931[3]（第10名）－极高,"
国王日：4月27日","立国日期：视乎不同阶段
立国事件：乌特勒支同盟（宣布成立联省共和国）1581年7月26日明斯特和约（西班牙承认独立）"
西班牙,,"
西班牙语[注 3]","
1.506万亿美元[6]（第12名）",,"
46,423,064[注 4]（第30名）","
505,990[4] km2（第51名）",,,"
▲ 0.891[8]（2017年）极高 · 第26名",,
瑞士,"
德语法语意大利语罗曼什语",,"
6,785.75亿美元[6]（第20名）",,"
8,341,000[4]（第96名）","
41,285 km2（第135名）",,,"
▲ 0.944[8]（2017年）极高 · 第2名",,
新西兰,"
英语 毛利语 新西兰手语",,,"总计：1,793.59亿美元[3]（第53名）
人均：38,065美元[3]（第22名）","
以下资讯是以2017年估计


总人口：4,818,940人（世界第120名）
人口密度：16.5人/平方公里/km2（世界第203名）
","
国土面积：268,021平方公里（世界第75名）
水域率：1.6[注 1]%
","
基督教、毛利人泛灵论信仰等",,▲0.917[4]（第16名）－极高,"
9月26日（1907年成为英国自治领）怀唐伊节：2月6日澳纽军团日：4月25日",
瑞典,"
瑞典语c",,"
5,546.59亿美元[4]（第22名）",,"
10,182,291[3]（第88名）","
450,295 km2（第55名）",,,"
▲ 0.933[6]（2017年）极高 · 第7名",,
阿曼,"
阿拉伯语",,"
$713.25 亿[4]",,"
4,424,762[2]（第125名）","
309,500 km2（第71名）",,"
伊斯兰教伊巴德派","
▼ 0.821[5]（2017年）极高 · 第48名",,
爱尔兰,"
爱尔兰语[2]、英语",,,"总计：3,079.17亿美元[5]（第37名）
人均：65,870美元[5]（第5名）","
以下资讯是以2016年估计


总人口：4,761,865[1]人（世界第119名）
人口密度：60.3/km2（世界第139名）
","
国土面积：70,273平方公里（世界第120名）
水域率：2%
",,,▲0.938[6]（第4名）－极高,"
圣帕特里克节","立国日期：1922年独立自英国
立国事件：英爱战争（1919年1月21日）"
巴西,"
葡萄牙语[2][3]",,"
1.769万亿美元[6]（第9名）",,"
208,450,000[5]（第5名）","
8,515,767 km2（第5名）",,,"
▲ 0.759[8]（2017年）高 · 第79名",,
芬兰,"
芬兰语、瑞典语[2]",,,"总计：2,895.57亿美元[4]（第44名）
人均：52,422美元[4]（第15名）","
以下资讯是以2017年12月估计


总人口：5,516,224[1]人（世界第114名）
人口密度：18/km2（世界第201名）
","
国土面积：338,424平方公里（世界第64名）
水域率：10%
","
基督教芬兰路德教会（71%）东正教（1%）[3]",,▲0.920[5]（第15名）－极高,"
独立日：1917年12月6日（从俄罗斯独立，获承认：1918年1月4日）",
印度,"
印地语英语[4][5][注 1]",,"
2.848万亿美元[18]（第5名）",,"
1,340,820,192[15]（第2名）","
3,287,263[14] km2[注 2]（第7名）",,"
79.8% 印度教14.2% 伊斯兰教2.3% 基督教1.7% 锡克教0.7% 佛教0.4% 耆那教0.9% 其他信仰[11][12]","
▲ 0.640[20]（2017年）中 · 第130名",,
丹麦,"
丹麦语",,"
3,025.71亿美元[7][注 5]（第39名）",,"
5,707,251[4]（第113名）","
42,923.53 km2[3]（第133名）",,"
丹麦教会","
▲ 0.929[9]（2017年）极高 · 第11名",,
波兰,"
波兰语[1]",,"
5,332.95亿美元[6]（第20名）",,"
38,433,000 [4]（第35名）","
312,696 km2[a]（第69名）",,,"
▲ 0.865[8]（2017年）极高 · 第33名",,
泰国,"
泰语[1]",,"
4553.78 亿美元[5]（第26名）",,"
67,959,000[3]（第20名）","
513,120 km2（第51名）",,,"
▲ 0.755[7]（2017年）高 · 第83名",,
意大利,,"
意大利语a","
1.850万亿美元[3]（第8名）",,"
60,599,936 ▲[2]（第23名）","
309,338 km2（第71名）",,"
83.3% 天主教12.4% 无宗教3.7% 伊斯兰教0.2% 佛教0.1% 印度教0.3% 其他宗教[1]","
▲ 0.880[5]（2017年）极高 · 第28名",,
比利时,"
荷兰语法语德语",,"
4,701.79亿美元[3]（第24名）",,"
11,250,585[2]（第75名）","
30,528 km2（第140名）",,,"
▲ 0.916[5]（2017年）极高 · 第17名",,
捷克,"
捷克语[1]",,"
1,935.35亿美元[5]（第50名）",,"
10,553,443[3]（第81名）","
78,866 km2（第116名）",,,"
▲ 0.888[7]（2017年）极高 · 第27名",,
土耳其,"
土耳其语",,"
9,090亿美元[2]（第17名）",,"
83,140,000[1]（第17名）","
783,356 km2（第37名）",,,"
▲ 0.791[4]（2017年）高 · 第64名",,
格鲁吉亚,"
格鲁吉亚语",,,"总计：139.42亿美元[1]（第116名）
人均：3,790美元[1]（第112名）","
以下资讯是以2015估计


总人口：4,052,224人（世界第111名）
人口密度：71/km2（世界第101名）
","
国土面积：69,700平方公里（世界第120名）

","
东正教",,▲0.780[2]（第70名）－高,"
独立日：1991年4月9日（从苏联独立）","立国日期：1991年4月9日
立国事件：格鲁吉亚独立日（1991年4月9日）"
爱沙尼亚,"
爱沙尼亚语2",,"
234.76亿美元[5]（第105名）",,"
1,315,944[3]（第154名）","
45,339[2] km2（第132名5）",,,"
▲ 0.871[7]（2017年）极高 · 第30名",,
孟加拉国,"
孟加拉语",,"
2932.52亿美元[5]（第45名）",,"
165,870,000[2]（第8名）","
147,570[3] km2（第92名）",,"
89.1% 伊斯兰教10% 印度教0.9% 其他信仰[2]","
▲ 0.608[7]（2017年）中 · 第136名",,
墨西哥,"
西班牙语",,"
1.063万亿美元[5]（第15名）",,"
119,530,753[4]（第10名）","
1,972,550 km2（第14名）",,,"
▲ 0.774[7]（2017年）高 · 第74名",,
罗马尼亚,"
罗马尼亚语",,,"总计：2,455.90亿美元[3]（第49名）
人均：12,575美元[3]（第67名）","

总人口：19,638,000▼[1]人（世界第59名）
人口密度：84.4/km2（世界第117名）
","
国土面积：238,391平方公里（世界第83名）
水域率：3.0%
",,,▲0.811[4]（第52名）－极高,,
毛里求斯,"
英语[2][3]",,,"总计：118.65亿美元[4]（第126名）
人均：9,421美元[4]（第64名）","

总人口：1,286,340（2011年估算），1,179,137（2010年实际统计）[1]人（世界第151名）
人口密度：630/km2（世界第18名）
","
国土面积：2,040平方公里（世界第181名）
水域率：0.05%
","
印度教、天主教、伊斯兰教、基督教其他教派",,▲0.790[5]（第65名）－高,"
独立日：1968年3月12日（从英国独立）",
哥伦比亚,"
西班牙语",,,"总计：2,741.35亿美元[3]（第42名）
人均：5,623美元[3]（第86名）","
以下资讯是以2016年5月估计


总人口：48,663,285 [1]人（世界第57名）
人口密度：40.74/km2（世界第173名）
","
国土面积：1,138,910平方公里（世界第25名）
水域率：8.8%
","
天主教",,▬0.720[4]（第90名）－高,,
立陶宛,"
立陶宛语",,,"总计：430.24亿美元[4]（第80名）
人均：14,964美元[4]（第52名）","
以下资讯是以2014年估计


总人口：2,944,459[1]人（世界第138名）
人口密度：50.3/km2（世界第120名）
","
国土面积：65,200平方公里（世界第122名）
水域率：1.35%
",,,▲0.858[5]（第35名）－极高,"
独立日：1918年2月16日从俄罗斯帝国宣布独立日：1990年3月11日从苏联正式独立日：1991年9月6日",
埃及,"
阿拉伯语",,,"总计：2,501.49亿美元[1]（第44名）
人均：2,859美元[1]（第131名）","
以下资讯是以2017年估计


总人口：93,453,000人（世界第15名）
人口密度：90/km2（世界第118名）
","
国土面积：1,001,449平方公里（世界第29名）
水域率：0.6%
","
伊斯兰教逊尼派（90%）、科普特基督教（10%）",,▲0.696[2]（第115名）－中,,"立国日期：1953年6月18日
立国事件：1953年6月18日废除帝制，成立共和国。（视乎不同阶段）"
挪威,"
挪威语（书面 / 新）
萨米语
北方萨米语吕勒萨米语南方萨米语（于9个自治市为官方语言）
",,"
4,432.52亿美元[11]（第28名）",,"
5,328,212[9]","
385,207[8] km2（第61名a）",,"
挪威教会[3][4][5][6][7]","
▲ 0.953[13]（2017年）极高 · 第1名",,
卡塔尔,"
阿拉伯语",,"
1,565.95亿美元[4]（第55名）",,"
2,155,446[a][2]（第142名）","
11,586 km2（第164名）",,"
伊斯兰教","
▲ 0.856[6]（2017年）极高 · 第37名",,
斯里兰卡,"
僧伽罗语泰米尔语",,,"总计：848.07亿美元[1]（第65名）
人均：3,990美元[1]（第112名）","
以下资讯是以2016估计


总人口：19,607,519人（世界第56名）
人口密度：305/km2（世界第24名）
","
国土面积：65,610平方公里（世界第119名）
水域率：1.3%
","
佛教印度教伊斯兰教基督宗教",,▲0.770[2]（第76名）－高,"
独立日：1948年2月4日","立国日期：1948年2月4日
立国事件：斯里兰卡独立日（1948年2月4日）"
克罗地亚,"
克罗地亚语",,"
$610.56亿[3]（第81名）",,"
▼ 4,154,200[2]","
56,594 km2（第126名）",,,"
▲ 0.831[5]（2017年）极高 · 第46名",,
匈牙利,"
匈牙利语",,"
1,170.65亿美元[7]（第58名）",,"
9,800,000[5]（第84名）","
93,030[4] km2（第109名）",,,"
▲ 0.838[9]（2017年）极高 · 第45名",,
希腊,,"
希腊语","
1,958.78亿美元[5]（第49名）",,"
10,955,000[2]","
131,957 km2[1]（第97名）",,"
东正教（普遍信仰）","
▲ 0.870[7]（2017年）极高 · 第31名",,
乌克兰,"
乌克兰语",,,"总计：835.50亿美元[3]（第62名）
人均：1,965美元[3]（第130名）","
以下资讯是以2018年12月1日估计


总人口：42,177,579[1]人（世界第35名）
人口密度：76/km2（世界第131名）
","
国土面积：603,700平方公里（世界第44名）
水域率：7%
","
东正教",,▲0.751[4]（第88名）－高,"
独立日：8月24日",
塞浦路斯,"
希腊语、土耳其语[2]",,,"总计：197.95亿美元[3]（第107名）
人均：22,903美元[3]（第33名）","
以下资讯是以2013年估计


总人口：全岛估计人口1,141,166人（世界第158名）
人口密度：123.4/km2（世界第82名）
","
国土面积：9,251平方公里（世界第168名）

","
希腊正教：78%伊斯兰教：18%其他：4%（包括马龙派与亚美尼亚使徒教会）",,▲0.869[4]（第32名）－极高,,
白俄罗斯,"
白俄罗斯语俄语",,"
$458.87亿[5]",,"
9,608,700 ▲[4]","
207,595 km2（第85位）",,,"
▲ 0.808[7]（2017年）极高 · 第53位",,
葡萄牙,"
葡萄牙语",,"
$2041.86亿[4]（第43位）",,"
10,341,330[2]（第83位）","
92,212[1] km2（第111位）",,"
天主教为主（81.0%）","
▲ 0.830[6]（2014年）极高 · 第43位",,
阿根廷,"
无[c]",,,"总计：6,377.17亿美元[9]（第21名）
人均：12,425美元[9]（第49名）","
以下资讯是以2014年估计


总人口：42,669,500[4]人（世界第32名）
人口密度：14.4/km2（世界第212名）
","
国土面积：2,780,400[b]平方公里（世界第8名）
水域率：1.57%
","
天主教",,▲0.825[10]（第47名）－极高,"
独立日（英语：Argentine Declaration of Independence）、国家日、圣诞节、元旦、圣周末[d]等","立国日期：1816年7月9日
立国事件：五月革命（1810年5月25日）"
斯洛文尼亚,"
斯洛文尼亚语",,"
$441.22亿[5]",,"
2,063,077[3]（第144位）","
20,273 km2（第154位）",,,"
▲ 0.896[7]（2017年）极高 · 第25位",,
